variable,theme,indicateur,unite,haiti_estimation,haiti_ic95_bas,haiti_ic95_haut,haiti_n,rd_estimation,rd_ic95_bas,rd_ic95_haut,rd_n,ecart_haiti_moins_rd,ecart_etabli,avertissement_de_mode,annee,passeport,source_id,source,licence,date_extraction
b21a,confiance,"Confiance dans le chef de l'exécutif (Président en 2016/17, Premier ministre en 2023 — référent différent, ne pas comparer les deux vagues)",0-100,13.0361,10.0295,16.0427,707,51.7616,49.682,53.8412,1580,-38.73,oui,"Haïti par téléphone, République dominicaine en face-à-face — l'écart mêle une différence de pays et une différence d'instrument",2023,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer 2023,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-25
b18,confiance,Confiance dans la Police nationale (PNH),0-100,58.5909,54.6618,62.5201,778,32.7543,30.7191,34.7894,1583,25.84,oui,"Haïti par téléphone, République dominicaine en face-à-face — l'écart mêle une différence de pays et une différence d'instrument",2023,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer 2023,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-25
b4,confiance,Fierté de vivre sous le système politique haïtien,0-100,24.5308,20.7005,28.3611,793,49.3792,47.431,51.3274,1584,-24.85,oui,"Haïti par téléphone, République dominicaine en face-à-face — l'écart mêle une différence de pays et une différence d'instrument",2023,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer 2023,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-25
b47a,confiance,Confiance dans les élections,0-100,27.9129,23.7933,32.0325,712,45.6907,43.8394,47.5421,1578,-17.78,oui,"Haïti par téléphone, République dominicaine en face-à-face — l'écart mêle une différence de pays et une différence d'instrument",2023,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer 2023,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-25
b3,confiance,Les droits fondamentaux sont protégés par le système politique,0-100,24.069,21.4729,26.665,1491,40.4172,38.5215,42.3129,1574,-16.35,oui,"Haïti par téléphone, République dominicaine en face-à-face — l'écart mêle une différence de pays et une différence d'instrument",2023,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer 2023,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-25
b1,confiance,Les tribunaux garantissent un procès équitable,0-100,28.1246,25.3099,30.9392,1391,44.1239,42.5064,45.7414,1560,-16.0,oui,"Haïti par téléphone, République dominicaine en face-à-face — l'écart mêle une différence de pays et une différence d'instrument",2023,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer 2023,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-25
b37,confiance,Confiance dans les médias,0-100,47.2198,43.2457,51.1939,775,61.4008,59.4985,63.303,1592,-14.18,oui,"Haïti par téléphone, République dominicaine en face-à-face — l'écart mêle une différence de pays et une différence d'instrument",2023,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer 2023,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-25
b6,confiance,Il faut soutenir le système politique haïtien,0-100,43.5104,39.0146,48.0063,688,57.5143,55.6163,59.4122,1577,-14.0,oui,"Haïti par téléphone, République dominicaine en face-à-face — l'écart mêle une différence de pays et une différence d'instrument",2023,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer 2023,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-25
b2,confiance,Respect des institutions politiques,0-100,54.2359,50.9855,57.4863,1471,64.7003,62.4769,66.9236,1568,-10.46,oui,"Haïti par téléphone, République dominicaine en face-à-face — l'écart mêle une différence de pays et une différence d'instrument",2023,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer 2023,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-25
exc2,corruption,A été sollicité pour un pot-de-vin par un policier (12 derniers mois),0-100,2.4077,1.1268,3.6886,771,18.7696,16.925,20.6142,1593,-16.36,oui,"Haïti par téléphone, République dominicaine en face-à-face — l'écart mêle une différence de pays et une différence d'instrument",2023,PSP-033,SRC-014,LAPOP Lab — AmericasBarometer 2023,"Licence par clic LAPOP — agrégats autorisés, partage des fichiers interdit, USAGE COMMERCIAL INTERDIT (clause 1)",2026-08-25
