source_id,statut_source,organisme,jeu,url,format,couverture,frequence,derniere_verification,licence,classe_juridique,redistribution,variables_cles,geographie,qualite,methode_extraction,contact,passeport_id,statut_juridique,verdict_publication_libre,verdict_prestation_payante,attribution_requise
SRC-001,Intégrée,CNIGS / UN OCHA,COD-AB Haïti — limites administratives,https://data.humdata.org/dataset/cod-ab-hti,"GeoJSON, SHP, GDB, XLSX","Haïti — adm0 à adm3, découpage valide au 2018-11-29",Irrégulière (dernière publication 2026-01-26),2026-07-31,CC BY 3.0 IGO,A — redistribution autorisée avec attribution,"Oui, avec attribution","p-codes, noms FR/HT, superficie, centroïdes, géométries","Département, commune, section communale","A — source officielle, méthode publiée","Téléchargement direct HDX, lecture GeoJSON",hdx@un.org,PSP-001,OUVERTE_AVEC_ATTRIBUTION,OUI,OUI,Oui — « CNIGS diffusé par UN OCHA »
SRC-002,Intégrée,GeoNames,"Gazetteer Haïti (HT.txt), classe P",https://download.geonames.org/export/dump/,TSV,10 945 lieux habités,Quotidienne,2026-07-31,CC BY 4.0,A — redistribution autorisée avec attribution,"Oui, avec attribution","nom, type, coordonnées, population, geonames_id",Point,B — coordonnées souvent arrondies au 1/60e de degré,"Export national, filtre classe P",info@geonames.org,PSP-002,OUVERTE_AVEC_ATTRIBUTION,OUI,OUI,Oui — « GeoNames »
SRC-003,Intégrée,IHSI,"Estimations désagrégées de la population haïtienne en 2024 — IHSI / Direction des statistiques démographiques et sociales, juillet 2024, 509 pages",https://ihsi.gouv.ht,PDF,"139 communes sur 140 — Caracol est absente des annexes ; champ vide, jamais zéro",Annuelle,2026-08-17,"Décret du 12 octobre 2005 sur le droit d'auteur, art. 5 : les textes officiels administratifs et les « simples données » sont exclus de la protection",A — redistribution autorisée avec attribution,Oui pour les données ; NON pour la mise en forme des rapports,"population totale, par sexe, 18 ans et plus, nombre de ménages, superficie, densité","Département, commune","A — statistique officielle de l'État haïtien. Publiée à côté de la projection UNFPA (SRC-013) et de WorldPop, jamais moyennée avec elles : l'écart est l'information","build_ihsi_population.py — les tableaux 240 et 241 sont lus par les COORDONNÉES des mots et non dans l'ordre du texte, un libellé de commune passé à la ligne cassant la lecture séquentielle. La colonne « deux sexes », commune aux deux séries, sert de contrôle : si les deux tableaux ne donnent pas le même total pour une commune, le script s'arrête au lieu de publier. build_population_confrontation.py confronte ensuite IHSI, UNFPA COD-PS et WorldPop dans atmart_population_trois_sources.json — publié, archivé, et servi par la fiche communale.",,PSP-044,OUVERTE_AVEC_ATTRIBUTION,OUI,OUI — les données ; pas la mise en forme,"Oui — par principe méthodologique : nom de l'institution, titre de la publication, millésime"
SRC-004,Intégrée,MENFP — Direction de la planification et de la coopération externe (DPCE) ; application SIGEEE,"Établissements scolaires — registres des écoles 2024-2025, dix registres départementaux en PDF. L'application SIGEEE, qui porte la même donnée en ligne, n'expose aucun fichier",https://menfp.gouv.ht — registres 2024-2025 ; https://sigeee.menfp.gouv.ht — application ; https://api.menfp.gouv.ht/v2 — API,PDF pour les registres départementaux ; application web Angular et API REST pour SIGEEE — aucun fichier publié,"140 communes, millésime 2024-2025 — 17 827 codes CIE distincts. Six entités du registre n'ont pas de correspondant dans le référentiel territorial : elles sont publiées sans atmart_geo_id plutôt qu'écartées",Annuelle — un registre par année scolaire,2026-08-17,"Décret du 12 octobre 2005 sur le droit d'auteur, art. 5 : les textes officiels administratifs et les « simples données » sont exclus de la protection",A — redistribution autorisée avec attribution,Oui pour les données ; NON pour la mise en forme des rapports,"établissement, secteur, niveaux, commune",Commune,"B — déclaration administrative, pas un relevé de terrain : une école fermée mais non radiée y figure, une école jamais recensée n'y figure pas. 643 lignes matériellement réimprimées dans les PDF ont été écartées au comptage","CE QUI EST INTÉGRÉ — build_menfp_ecoles.py lit les dix registres départementaux 2024-2025 depuis la zone de capture raw/menfp/ (32 Mo) et compte les codes CIE DISTINCTS lus en première colonne ; build_ecoles_confrontation.py les confronte aux écoles vues par OpenStreetMap, et build_ecoles_web.py produit atmart_ecoles_declarees.json — publié, 140 communes, cartographié par la couche ecoles_declarees et servi par la fiche communale. CE QUI NE L'EST PAS — l'application SIGEEE. Tenté le 13/08 : l'application répond, sa configuration publique expose les URL de l'API. Sur ces services, seul /v2/geo/api/v1/department répond (200) et ne donne que la géographie, déjà couverte par le CNIGS. La recherche d'écoles (/v2/ecolesearch) renvoie 502 — service amont en panne — et le recensement (/v2/census) renvoie 401. À signaler au MENFP : la configuration publique de l'application expose une clé d'API en clair. Alternative sous licence compatible cherchée sur HDX le 13/08 : rien de plus récent ni de plus large que SRC-010 (OCHA 2022, 49 communes) ; les jeux HOT/OSM sont en ODbL, écartée.",,PSP-043,OUVERTE_AVEC_ATTRIBUTION,OUI,OUI — les données ; pas la mise en forme,"Oui — par principe méthodologique : nom de l'institution, titre de la publication, millésime"
SRC-005,Identifiée — non ouverte,MSPP,Liste et catégories des établissements sanitaires,https://mspp.gouv.ht,PDF / Excel,Inconnue : le site de l'institution ne répond pas,Irrégulière,2026-08-13,"Décret du 12 octobre 2005 sur le droit d'auteur, art. 5 : les textes officiels administratifs et les « simples données » sont exclus de la protection",A — redistribution autorisée avec attribution,Oui pour les données ; NON pour la mise en forme des rapports,"établissement, catégorie, commune",Commune,À évaluer,"Tenté le 13/08 : mspp.gouv.ht ne répond sur aucun protocole ni sous-domaine (www, ureph, sinis). Le DNS résout et le port 443 s'ouvre, mais aucune réponse HTTP n'arrive — le service est hors d'usage, pas seulement restreint. Alternative sous licence compatible cherchée sur HDX le même jour : le seul registre d'établissements disponible reste SRC-009 (OCHA 2023, 14 communes), déjà intégré ; le jeu HOT/OSM, plus complet et mis à jour, est en ODbL — écartée des produits Atmart.",,PSP-042,OUVERTE_AVEC_ATTRIBUTION,OUI,OUI — les données ; pas la mise en forme,"Oui — par principe méthodologique : nom de l'institution, titre de la publication, millésime"
SRC-006,Identifiée — non ouverte,CNSA / FEWS NET / WFP,Prix alimentaires par marché,https://cnsa.gouv.ht,PDF / Excel / HDX,"Marchés haïtiens, séries mensuelles",Mensuelle,,Variable selon le producteur,B — agrégats et transformations généralement autorisés,Selon producteur,"produit, marché, unité, prix","Marché, commune",À évaluer — unités locales à harmoniser,À construire,,,,,,
SRC-007,Identifiée — non ouverte,BRH,"Séries macrofinancières (change, IPC, monnaie, BdP)",https://brh.ht,PDF / Excel,Séries mensuelles et annuelles,Mensuelle,,À vérifier,"B — données publiques, transformation autorisée sous réserve",À confirmer,"taux de change, IPC, agrégats monétaires",National,À évaluer — séries dispersées entre bulletins,Extraction PDF à construire,,,,,,
SRC-008,Identifiée — non ouverte,DHS Program,"EMMUS / DHS Haïti — enquêtes démographiques et de santé, vagues 1994-1995 à 2016-2017 (l'évaluation des établissements SPA est inscrite séparément en SRC-020)",https://dhsprogram.com,Microdonnées sur inscription,"Santé, nutrition, WASH, ménages",Par vague,,Conditions DHS,"C — accès sur inscription, redistribution des microdonnées INTERDITE",Non — agrégats et scripts reproductibles uniquement,"indicateurs santé, nutrition, ménages","Département, milieu",A — enquêtes standardisées,"Agrégation locale, aucune microdonnée redistribuée",archive@dhsprogram.com,,,,,
SRC-009,Identifiée — non ouverte,OCHA Haïti,Location of health facilities,https://data.humdata.org/dataset/location-of-health-facilities-hospital-in-haiti,"XLSX, SHP","PARTIELLE — 730 établissements, 14 communes sur 140 (Artibonite, Centre, Nord, Ouest). Malgré son titre, ce n'est pas un registre national.",Irrégulière,2026-07-31,CC BY,A — redistribution autorisée avec attribution,"Oui, avec attribution","nom, catégorie, statut, code, p-code section, lat/lon",Section communale,B — 66 % géocodés ; codes institution réutilisés pour des établissements distincts ; l'Hôpital Universitaire de Mirebalais est rattaché à Gonaïves,"Téléchargement HDX, lecture XLSX (2 lignes d'entête HXL)",,,,,,
SRC-010,Identifiée — non ouverte,OCHA Haïti,Cartographie des institutions scolaires 2022,https://data.humdata.org/dataset/haiti-education-facilities,XLS,"PARTIELLE — 4 122 écoles, 4 départements sur 10 (Sud, Ouest, Nippes, Grande'Anse), 49 communes sur 140. Cartographie liée à la réponse post-séisme.",Ponctuelle (2022),2026-07-31,CC BY,A — redistribution autorisée avec attribution,"Oui, avec attribution","nom, type public/non public, p-code commune",Commune,"C — aucune coordonnée, aucune section communale, libellés de statut non harmonisés, un p-code département erroné","Téléchargement HDX, lecture XLS (xlrd)",,,,,,
